0_config,numCycles,iqFullEvents,cpi,ipc,enterRA,totalCyclesRA,cyclesAvgRA,pctRobEmptyRA,totalDecodedRA,l1Miss,l1MissRA,icacheStallCycles,fullRegistersEvents,l2Miss,l2MissRA,freeRegsAvg,iqFullRa,fullROBstalls
base_consumer_rob128_256kB,74387450,2229,0.646133,1.547669,12287,,,,554079,1148282,,15398361,13,25461,,,,2090336
base_consumer_rob128_64kB,111261020,6493,0.966421,1.034745,170072,,,,4669450,1238468,,19967085,13,323413,,,,12380349
base_consumer_rob160_128kB,102755960,14949,0.892545,1.120392,120346,,,,4209258,1227589,,19515888,13,225716,,,,6693674
base_consumer_rob160_256kB,74122530,6235,0.643833,1.553199,12239,,,,752641,1142225,,15454333,13,25548,,,,1546379
base_consumer_rob160_64kB,110275804,22168,0.957862,1.043991,168780,,,,5916341,1245529,,20098389,13,307808,,,,8946365
base_consumer_rob192_128kB,102338658,25448,0.888920,1.124961,119450,,,,4801368,1243009,,19584555,13,230085,,,,4726151
base_consumer_rob192_256kB,74016016,7623,0.642907,1.555434,12095,,,,942191,1145917,,15482383,13,25197,,,,1249106
base_consumer_rob192_64kB,109716748,35878,0.953006,1.049311,167648,,,,6716522,1256394,,20182280,13,313947,,,,6201026
base_consumer_rob64_128kB,108772125,0,0.944801,1.058424,128618,,,,1678632,1080718,,19056261,,245193,,,,13043385
base_consumer_rob64_256kB,78492845,0,0.681793,1.466720,12736,,,,216176,1003975,,15197679,,24555,,,,4057254
base_consumer_rob64_64kB,116976722,0,1.016068,0.984186,180489,,,,2251197,1097603,,19597227,,329936,,,,18022052
base_consumer_rob96_128kB,105311998,0,0.914748,1.093197,125280,,,,2639975,1184224,,19193437,8,245463,,,,10772146
base_consumer_rob96_256kB,75320550,0,0.654238,1.528496,12451,,,,383547,1099251,,15286450,8,24161,,,,2929790
base_consumer_rob96_64kB,113394720,0,0.984955,1.015275,175516,,,,3584912,1200135,,19757813,8,333802,,,,15271734
base_d_rob81_256kB,152579,0,2.710684,0.368911,113,10899,96.451,,3207,302,,44952,,180,,,,
base_dijkstra_rob128_128kB,151990,0,2.700220,0.370340,111,,,,4574,314,,45017,,187,,,,6844
base_dijkstra_rob128_256kB,151990,0,2.700220,0.370340,111,,,,4574,314,,45017,,187,,,,6844
base_dijkstra_rob128_64kB,152525,0,2.709725,0.369041,111,,,,4574,314,,45044,,187,,,,7372
base_dijkstra_rob160_128kB,152224,1,2.704377,0.369771,113,,,,5318,325,,44605,,188,,,,5549
base_dijkstra_rob160_256kB,152224,1,2.704377,0.369771,113,,,,5318,325,,44605,,188,,,,5549
base_dijkstra_rob160_64kB,152380,1,2.707149,0.369392,113,,,,5318,325,,44612,,188,,,,5549
base_dijkstra_rob192_128kB,152232,5,2.704520,0.369751,111,,,,5849,326,,45471,,188,,,,4808
base_dijkstra_rob192_256kB,152232,5,2.704520,0.369751,111,,,,5849,326,,45471,,188,,,,4808
base_dijkstra_rob192_64kB,152388,5,2.707291,0.369373,111,,,,5849,326,,45478,,188,,,,4808
base_dijkstra_rob64_128kB,153183,0,2.721415,0.367456,112,,,,2658,304,,44913,,179,,,,9913
